,player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
0,user0,-381.77571302471057,-381.84698438987203,-380.8270095951918,-381.4487878965513,-381.55395405295957,-382.67981015313825,-385.3582672100301,-383.46958854982614,-381.07115312128434,-382.67981015313825,-382.87413657388805,-385.7605964481897,-382.40467919846407,-381.63684774324435,-382.79950081756266
1,user1,-184.56510806097268,-184.56510806097268,-184.5651080609727,-184.56510806097268,-221.28540255741322,-245.36139506166208,-337.97910101746055,-332.7967304974091,-231.6084599660355,-264.01662835049433,-246.1333477172644,-338.5234428366849,-332.8761828535731,-233.2491648608001,-265.1433606657456
2,user10,-233.04157426495806,-243.05980122087672,-243.05980122087675,-228.72905905649725,-236.8312566603276,-239.37555370193655,-340.40368972745597,-313.0157274662036,-237.0142390976257,-241.86053238104665,-243.7330486646569,-342.3159304919646,-317.97308596069325,-240.43829338603626,-245.09731278720204
3,user11,-225.06100810245036,-225.06100810245036,-225.06100810245036,-225.06100810245036,-255.48097813581853,-286.78974926302664,-360.14048030542034,-348.85428913783625,-282.5304436709395,-312.75260437057955,-286.4991635679072,-360.765699400522,-350.69859330680856,-284.1485284733103,-311.11226287348114
4,user12,-218.36875074041706,-218.36875074041706,-218.36875074041706,-218.36875074041708,-224.87407366334565,-272.84974854342926,-360.1314794027101,-336.7190679326373,-257.95535070623123,-274.28786354425665,-272.8348534384426,-359.99386885151915,-333.88104822901863,-258.38456655793675,-274.5687778154584
5,user13,-293.143160653022,-295.6538498442114,-295.6538498442114,-293.0636412523425,-289.0473265273277,-319.7707614545044,-363.4701683250858,-360.68155959206996,-312.00072091234557,-317.49971105803564,-320.3895766585703,-365.8879743381411,-362.6875637992418,-312.4812640492774,-318.2720334610404
6,user14,-287.3287801538542,-287.3287801538542,-287.3287801538542,-287.3287801538542,-288.8423275585506,-308.0811718250332,-367.7415266225982,-353.80774606233155,-307.31194078876587,-311.2535829807195,-308.456458995794,-369.60254403079483,-356.01146939307995,-306.9995021650537,-310.7180563863663
7,user15,-203.2217676362335,-203.2217676362335,-203.2217676362335,-203.22176763623352,-230.4187899767502,-277.1054169966654,-355.63532118430743,-348.31214921365694,-263.1015621760177,-291.96242255162423,-274.26204349096554,-355.6818856053944,-348.00472248139175,-261.65021927334607,-288.18128790294355
8,user16,-280.12268333397896,-298.76347992512655,-298.76347992512655,-289.3095338760299,-280.6504883581165,-296.26592871691247,-352.88747862433246,-338.32296284216,-295.94922835277856,-290.8110082186766,-295.8086941517403,-352.9339237272872,-337.43292636863174,-295.42358542330356,-290.2389331775565
9,user17,-303.14691540265306,-303.14691540265306,-303.14691540265306,-303.14691540265306,-302.3069455707342,-328.44133145840243,-363.71619970422324,-361.42237109335457,-321.53565861587475,-328.78323238807974,-329.8469585127959,-365.1399874622967,-361.08774075353534,-325.63097601661735,-330.2567698351441
10,user18,-88.8146794898743,-88.81467948987435,-88.81467948987446,-88.81467948987435,-148.1711526550941,-226.3835578503138,-339.2408166019288,-320.28517496467333,-201.2531413603285,-261.57174173881515,-226.7764150503964,-342.2465017232975,-325.605237160322,-204.86762541703493,-259.9700926276441
11,user19,-384.22570652880955,-386.8421584629179,-382.8016033844046,-385.6689232642005,-384.2257039171548,-376.77301549317684,-385.74358590175035,-379.83178997990416,-379.8928655033265,-377.03637560185535,-381.75084873062127,-387.8259594577124,-382.3269332650189,-384.1260749086301,-382.1084308711301
12,user2,-254.70893056127844,-265.41753334767947,-265.4175333476795,-251.62769699853646,-262.21300955555625,-258.4120385068288,-351.30164269910057,-326.0849814540757,-262.30620907933115,-268.2022036597457,-262.76467303438574,-351.93698883007187,-324.4902140755908,-263.8183832826091,-269.9934609665608
