,player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
0,user0,-295.576271392078,-295.576271392078,-295.576271392078,-295.576271392078,-293.1520155353006,-329.67540365105714,-371.27073185087585,-363.0747756519325,-321.2581898551335,-325.4168073060642,-330.2914540851613,-372.92330282663295,-364.3477680190169,-323.02379186507557,-326.9275795984028
1,user1,-333.2510934149704,-333.2510934149704,-333.2510934149704,-333.2510934149705,-329.8919203288624,-357.7494007215951,-379.3776141465415,-374.8524254537834,-350.85072082959294,-354.9129491148611,-357.3455147802354,-381.13065105250735,-373.9069206395125,-351.05181774334534,-354.4628750172612
2,user10,-307.9924504961006,-309.86494982837127,-309.86494982837127,-305.3417581956234,-303.03753037003725,-309.97040446458317,-366.20747890211254,-350.0766617241282,-311.48267911839946,-310.0487959652011,-315.9146515312429,-367.52202137956675,-353.66267940424774,-317.49446088922565,-311.0259045039974
3,user11,-355.61894142590364,-355.61894142590364,-355.61894142590364,-355.61894142590364,-354.72653164425327,-353.3927355198228,-379.9530289024731,-373.91200956065546,-359.7463794506806,-359.6123133952157,-357.2021269362913,-382.17396870901956,-376.88037150414374,-364.0772868877552,-361.00308141893055
4,user12,-293.4473207625286,-293.3437656823113,-293.4473207625286,-293.4473207625286,-286.999574894712,-314.72383450293904,-364.376601480842,-349.3173603944412,-308.61411420132094,-307.09262860119514,-314.30873939754946,-365.0816399741281,-350.36499597886683,-308.86846301646307,-306.88475911253903
5,user13,-300.3199924904256,-301.5180959076336,-301.51809590763366,-301.5180959076336,-295.35767444382026,-318.95632508727437,-360.8359779200859,-359.7757139313234,-317.22672863597853,-307.5077335150468,-318.8779705945779,-361.3404679893592,-360.23284549355475,-317.19582642551774,-307.43379931255635
6,user14,-385.43440606022654,-384.4930806056547,-384.5307377080613,-386.1653918816583,-385.5120106094175,-384.9469724898101,-385.00950525300976,-382.882517448266,-384.71061714470966,-385.34909892625984,-384.9512168343152,-386.5425213517637,-383.8559288334429,-385.33668923444435,-385.1651937149699
7,user15,-189.11383340456655,-189.85115795306322,-189.85115795306322,-185.8927158183171,-227.1242854040291,-252.12472476027963,-349.663969884163,-325.6284182997613,-225.73796098229397,-260.75657588337344,-252.1020695133486,-350.51321832271424,-326.31479025915945,-225.0496020369189,-260.878322525919
8,user16,-309.8814513783171,-309.8814513783171,-309.88145137831725,-309.8814513783171,-309.6100984785989,-343.31643688079436,-373.4206852767141,-373.26533127259677,-343.8160792739549,-339.87244948021356,-343.58236014967457,-375.9246639916285,-374.62403857831197,-345.03811251459007,-342.17211942148214
9,user17,-211.23750476397342,-211.23750476397348,-211.23750476397342,-211.23750476397342,-219.3650870894314,-268.7719032512904,-353.1955932181906,-328.5604618860689,-251.2049006223295,-268.20713520438375,-271.2661119894342,-355.088324311501,-331.5332459139892,-252.5813313647436,-269.2293258681496
10,user18,-316.8048538242095,-316.80485382420954,-316.8048538242095,-316.8048538242095,-315.92163534933803,-344.18827241024854,-376.12198711679576,-368.64650746364765,-339.1066236449567,-341.723852388432,-344.40287100729574,-376.0672458687357,-369.0144703414867,-338.91183534224814,-341.95945838377
11,user19,-239.3510234922928,-242.10704549287198,-242.10704549287198,-241.30279384335196,-236.6952137617629,-278.1660327929754,-347.3478164052461,-341.8746691137689,-270.3233975325783,-270.91018275560737,-278.9499143466674,-351.30325901629675,-340.2616163488164,-273.043601313448,-272.7002733932126
12,user2,-184.18568432426292,-184.18568432426292,-184.18568432426292,-184.1856843242629,-196.57586202157412,-249.98562079479515,-341.9543644044695,-334.95541759300255,-248.75220786485175,-252.73543514367276,-251.08817085846073,-345.14063623668966,-337.7308243502992,-250.91122228999276,-252.66312480889627
13,user20,-352.5692404337418,-352.5692404337418,-352.5692404337418,-352.5692404337418,-352.56924043374175,-362.8101755589767,-378.320155844506,-376.6694220839059,-362.22727448109123,-362.8101755589767,-363.0833147688873,-378.0876875541882,-376.2795512043983,-362.22727448109123,-363.0833147688872
14,user21,-366.8687917276355,-370.0837096255428,-368.6452458243917,-367.44525663896485,-366.2506567285648,-369.020452611787,-381.95562016682936,-378.2690983741376,-369.15197998981176,-368.30367213000164,-368.57952978447014,-381.9004800409206,-376.4898270988188,-368.7762154132976,-367.9395390394463
15,user22,-315.3531091425902,-314.9873384487331,-316.3350595123948,-315.02242423299634,-311.1582841185112,-326.4550862462855,-363.5128311276865,-367.1781311481985,-330.7330899874331,-323.8115250200229,-327.6039719423984,-365.1599919582215,-364.0121925669278,-331.21707943435206,-324.76357594207894
16,user23,-213.097568141086,-213.09756814108601,-213.097568141086,-212.74801408213247,-228.55995024861141,-259.2970298614879,-351.2679130817525,-325.7305857452258,-244.77337165057625,-274.31325585685823,-262.945770630153,-352.05839804334585,-329.13559824069034,-245.30914605257954,-277.47514781588177
17,user24,-252.90852106189232,-252.90852106189226,-252.90852106189223,-252.90852106189226,-256.85908591537446,-300.8343498901437,-356.12188484141694,-354.0599445364181,-293.9122589271819,-304.21203539280344,-302.7933137087927,-359.22676333139185,-353.52146052539075,-296.3782643819808,-305.484227600372
18,user25,-244.93388915700004,-244.93388915700007,-244.93388915700004,-244.93388915700007,-265.63977278979115,-296.29543778989415,-360.8056128261216,-353.64173473638334,-283.51325945681646,-301.58747446917215,-298.43565680371364,-361.95391636120956,-353.69340799143197,-283.7184378951285,-302.4562649888027
19,user26,-261.07228340081616,-261.07228340081616,-261.07228340081616,-261.07228340081616,-279.0024106645866,-315.09863488895695,-370.6521505034934,-357.06804579054824,-305.30849451619935,-320.4567165833527,-315.70146013113435,-372.5077626162361,-357.91522988656175,-306.98407424540795,-321.41889205566696
20,user27,-228.50220962604865,-228.5022096260486,-228.5022096260486,-228.5022096260486,-266.97897806111456,-282.2280228384502,-363.14065135212473,-347.78098595132934,-275.2280122586134,-300.048485423278,-281.0467260003281,-364.65257226859404,-350.32998326594884,-274.304648578151,-299.17731656245627
21,user28,-214.52779013783558,-214.5277901378356,-214.52779013783564,-214.5277901378356,-237.75610453621573,-276.9252624655013,-359.13063510667706,-341.55457508953896,-263.6276876783762,-296.70941111459734,-278.0410103678588,-359.34769706352785,-341.3960897706219,-264.4757501130504,-297.118608690538
22,user29,-252.7471744593294,-252.74717445932936,-252.74717445932936,-249.9674474499421,-260.7262263385765,-284.521720019252,-348.31584331200844,-347.6783436810727,-282.0563691327208,-288.0695933756695,-285.3930730184273,-348.30316705576087,-345.69272950514255,-282.9164037988301,-288.5360151020148
23,user3,-264.89343639319424,-267.7397710194218,-267.7397710194218,-262.809196241037,-265.3659225413569,-288.43277334351916,-358.5221255324985,-336.8981754146574,-284.9801159223512,-282.6389894947867,-285.2995917809316,-360.13466258047544,-340.98299259925085,-286.03407306747437,-282.7471693964064
24,user30,-242.3160844518905,-242.31608445189048,-242.3160844518905,-242.31608445189053,-237.42798841403982,-288.1006658761824,-358.57635190075604,-352.230253247795,-281.8211630395818,-274.8896478525456,-289.3623676332434,-362.22601640524243,-353.7526442501758,-285.89996389397345,-275.57683930449576
25,user31,-267.33534948914615,-267.33534948914615,-267.33534948914615,-266.01876005450964,-261.9533792764159,-310.38588153239,-355.1958520411204,-358.33276154064237,-299.5433598138812,-307.0369591644,-311.809590604006,-355.9418394463352,-360.19759199183494,-300.95637545001574,-307.481682696051
26,user32,-353.33622291426894,-353.33622291426894,-353.33622291426894,-353.33622291426894,-353.33622291426894,-365.11257856318633,-379.1244762671103,-376.44381190227836,-363.32729925321354,-363.75895124760615,-365.88434924045697,-379.041379972637,-375.8434430072211,-363.234722826295,-365.88434924045697
27,user33,-329.74036217828495,-329.740362178285,-329.7403621782849,-329.7403621782849,-329.0519331571577,-345.79900152247046,-372.2535659830793,-370.2431397324027,-342.8171387600444,-343.1207691439225,-347.424289649027,-374.6175754160028,-372.02531035240787,-343.04208843667,-344.7279956302372
28,user34,-384.20802519733337,-386.18093529861,-382.23849558066655,-383.4415241583317,-383.6502568592894,-382.9098074068235,-386.38447875321737,-382.16596061786703,-382.1149659992935,-382.749095624835,-383.4949833045368,-386.6040703254086,-382.36079174209175,-383.1913156739079,-383.2819245079664
29,user35,-213.9192143025103,-227.43773468255927,-227.43773468255924,-223.57914906318985,-215.20369597996515,-261.5184321176068,-351.4476899578768,-334.0101796963435,-256.576071325999,-247.03058667554603,-263.03455442687783,-354.22157189793296,-334.824058961052,-259.82048382614977,-248.4878170148554
30,user36,-178.6132674803932,-178.61326748039323,-178.61326748039318,-178.61326748039318,-212.4468333002058,-250.9773477326269,-344.0172009468652,-336.02338289596054,-235.45272481614248,-272.264803026405,-252.44030798190565,-347.195481384512,-336.51606612893073,-238.4187219846176,-271.5477630074512
31,user37,-290.6751875800645,-298.8130511046506,-298.30352258756335,-285.869681427309,-288.97464348615097,-296.7370669481907,-359.8716740183858,-339.07291044607285,-294.13257327417665,-294.48672372898824,-298.06523198909207,-360.67918826369265,-338.5462474662194,-294.53633501161636,-294.4053969551374
32,user38,-100.83978099783249,-100.83978099783252,-100.83978099783266,-100.83978099783252,-159.45122171236514,-213.8938089950122,-341.66040566490136,-323.41170632225595,-199.16563867364354,-243.54561591086957,-216.66027622823313,-345.88062417328,-325.1848291942325,-202.86919717422504,-246.1131957813741
33,user39,-272.9246645626206,-272.92466456262053,-272.92466456262053,-272.9246645626206,-273.3442206724696,-323.25223722401637,-365.198570143146,-370.15188320251804,-325.3191568820167,-318.23143054775807,-324.49097325236534,-366.35222670193656,-370.077979826649,-326.19933706888804,-320.6966935398934
34,user4,-282.4075097487103,-313.035987330428,-304.35543745198106,-290.96960665264965,-268.5855037023187,-279.56785437767076,-356.5912462300376,-326.3973786611385,-291.1587118446081,-267.25070465613646,-281.1461267214707,-358.4904989107575,-330.0986867022521,-292.35248596087496,-267.09413888573164
35,user40,-241.19271187161533,-240.53839974968835,-241.19271187161533,-238.58173676198285,-242.0942902472736,-281.3159352428904,-349.41430904667124,-336.2217400703816,-266.5255231011677,-282.2695810292217,-284.3569000281136,-351.6369326882786,-338.04488524100543,-268.89178526987604,-284.4074862338062
36,user41,-317.26840443354683,-317.2684044335469,-317.26840443354683,-317.26840443354683,-316.08867706967135,-343.25939331849213,-367.2403078101266,-362.5334798809159,-329.783169013944,-338.39522899878017,-342.8282982640973,-367.9130197022799,-363.8604194029826,-332.160947362587,-339.56265867984797
37,user42,-247.17507309783355,-264.1785940933624,-264.12235857007346,-252.4280915755065,-243.51912831577783,-255.0831350087971,-329.94878081365056,-324.2879675260238,-260.8818709043388,-249.24102674641549,-256.86134640166904,-331.01916264423903,-327.7838572965882,-264.15421636247396,-249.83909968747253
38,user43,-178.58655232925403,-178.58655232925403,-178.58655232925403,-178.58655232925398,-201.156140374577,-245.14326231015747,-340.435705253785,-331.08523339394543,-237.78962149582398,-266.57720689991794,-249.81097148967703,-344.1936313751318,-331.84867474239786,-242.159586225688,-268.25216434537697
39,user44,-378.98110816243576,-380.0146249903158,-379.48819682038874,-378.6224634332422,-378.1101454565107,-379.6125133574976,-380.86423122223727,-379.6208271915773,-376.7960000802292,-379.65143067705475,-380.66871094456,-381.3565374810351,-379.83154515604105,-378.14207809530757,-380.0036672678703
40,user45,-170.38944334811998,-170.38944334811998,-170.38944334812007,-170.38944334811998,-196.74906530799421,-245.26088119809208,-344.74029434203635,-331.86397215863354,-239.16593187784932,-257.17912284951586,-249.31815838819332,-348.19728009375484,-335.38659298419174,-240.48431991641704,-259.09127189563714
