,player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean
0,user0,-216.20659489819005,-216.20659489819005,-216.20659489819005,-216.20659489819005,-268.73172413677946,-361.6523841534468,-340.4269729551502,-262.00772353274573,-271.8517254720375,-363.521487948693,-343.1517596634365,-264.4652378366407
1,user1,-210.03095317227013,-210.03095317227013,-210.03095317227016,-210.03095317227016,-279.6321011498424,-353.9132369781618,-348.1839723071662,-264.2141254172682,-280.5277972951838,-354.55842368917405,-348.8624036209328,-267.1019833404659
2,user10,-192.23244040464883,-199.83643491689068,-199.8364349168907,-195.20497425270824,-269.3055438094007,-351.70948326604963,-331.9532300981728,-254.9700183409037,-274.9430846191665,-355.0354458157562,-331.6325342437056,-259.24608957106256
3,user11,-307.1621718951279,-307.1621718951279,-307.1621718951279,-307.16217189512787,-338.97456039172874,-372.64965767424786,-365.2116435729244,-331.5860744584621,-338.0995593950021,-372.19291333727466,-367.0760997307394,-330.84294810931584
4,user12,-97.12982466734479,-97.12982466734474,-97.12982466734476,-97.12982466734482,-209.46648923950713,-332.2798194433679,-316.6113255783777,-192.4612069004751,-212.46229386572114,-335.31706839813717,-319.49619021012705,-196.588982190902
5,user13,-169.67343783258048,-169.67343783258045,-169.67343783258045,-169.67343783258045,-266.146501945235,-351.8060647886762,-348.4381774189793,-256.20334589485327,-264.6863926845913,-353.38375257197583,-349.1967075744458,-259.8691908783098
6,user14,-237.369043588018,-237.36904358801803,-237.36904358801803,-237.369043588018,-299.9796346823373,-356.827647151806,-343.6296397337833,-276.7439470815075,-303.19060503490186,-360.41399910161016,-346.47827414359745,-278.1828978251866
7,user15,-248.12147162050684,-248.12147162050687,-248.1214716205069,-248.12147162050684,-299.38691200484783,-361.5576879027573,-353.22984926692067,-294.3620595801372,-298.74606311760556,-363.36679505695287,-354.753528436124,-295.3608910146694
8,user16,-255.49260102288315,-260.3990250040424,-260.3990250040424,-257.6246278692245,-301.6996192242679,-356.3738958391021,-355.36991181453965,-289.002648439678,-303.550602320473,-359.31220387855745,-356.29929020046046,-290.0433914010493
9,user17,-306.61403554698126,-306.53190211938465,-306.61403554698126,-306.61403554698126,-328.75975552880954,-364.95682238694434,-363.60315283163635,-329.4264656560734,-329.912971399072,-365.4069596432378,-362.7620926419343,-330.28357299759233
10,user18,-320.6356570500218,-326.20370742562534,-324.9209051079093,-319.4814929167421,-336.1812996021867,-371.3544847092506,-361.11855819378087,-328.49154792162744,-337.93803750242904,-372.11848989590106,-361.89571328723304,-330.5755308965213
11,user19,-181.23802293294293,-206.39014103541425,-203.50340951753847,-185.87193846942074,-252.52023247546362,-343.20481403555425,-326.0754210058878,-234.6212030090997,-251.96216591199902,-344.64257606910286,-326.49367918884235,-234.30899315358013
12,user2,-190.870078004412,-190.870078004412,-190.87007800441202,-190.87007800441202,-259.36061980836485,-348.3421058265918,-332.4387538000107,-246.62242830658974,-259.7543306111723,-348.3451456069634,-335.1023163931348,-248.70551527016593
13,user20,-204.74522198839028,-222.61374987953724,-211.28804439019686,-207.93608561245307,-268.8050166024467,-349.51225535985634,-331.7482410331567,-256.7093740766749,-272.958813711696,-351.00388511791544,-332.34599617739565,-259.551453566023
14,user21,-173.4649751838668,-173.4649751838668,-173.4649751838668,-173.4649751838668,-254.31782270529976,-352.80876763869225,-332.21308999279074,-240.36776447329086,-257.29352429746166,-354.2921524677973,-335.205734141458,-240.25980953087807
15,user22,-186.26744685271458,-186.26744685271453,-186.26744685271453,-186.26744685271456,-256.13629541560397,-343.8919085395412,-338.301672438135,-252.85798224577204,-258.4657996314082,-344.1324624188905,-336.3139085212066,-253.45779197787627
16,user23,-343.9238168935614,-349.5204732387154,-349.7277952414533,-346.8029827356111,-349.4526598487233,-374.0345771010173,-367.0483489426877,-352.6472097541793,-350.12179141626797,-373.95930039263345,-367.7851623142714,-353.28209500369877
17,user24,-269.37895011021146,-271.53286319835627,-271.53286319835627,-269.51472329629036,-300.5068147415802,-366.30674378575674,-351.60112030755835,-296.13331469101007,-297.2441672246054,-365.9360179125626,-352.9472840643609,-293.7242861632946
18,user25,-126.82789761490369,-126.82789761490372,-126.82789761490372,-126.82789761490375,-219.18916090643964,-342.84264720002307,-321.85321618535016,-203.1624226988703,-222.6654099679275,-346.3896325082058,-323.58175527082255,-203.35240786680131
19,user26,-162.12875342100585,-162.12875342100594,-162.12875342100588,-162.12875342100583,-256.68763473872707,-341.8307132222615,-323.49193422017953,-227.16354632275244,-257.93662891018,-346.1492000460914,-328.6146848026369,-230.61931771421445
20,user27,-250.01596660263667,-250.01596660263667,-250.01596660263664,-250.01596660263664,-288.0167453102625,-352.38656363289743,-355.82569547383446,-290.7026974754196,-290.56489947118035,-353.6696949043339,-354.88601715094165,-289.59949778465176
21,user28,-297.8641608529262,-298.500713128522,-298.500713128522,-295.46579400056544,-320.0935176090257,-362.8480131578798,-359.8962988465879,-316.87325920749345,-321.496985124558,-365.67384789829174,-362.95806003483443,-317.82151880621444
22,user29,-387.1704610610096,-385.90388813787274,-386.2300505500121,-387.1001330450022,-385.7589225562345,-385.0104613497903,-385.2644813932773,-385.13752257287774,-385.90388813787274,-386.74552842566067,-385.6928505752729,-385.26483985434794
23,user3,-184.08432699086694,-192.00202959103146,-192.00202959103146,-185.77006440256824,-267.7886791797715,-356.4250249657262,-347.8881007763959,-259.5400462591155,-269.63530550293984,-356.95819112277445,-347.79772924783134,-260.080267179725
24,user30,-192.2755921398654,-198.21243449631154,-198.21243449631146,-196.0941999197531,-253.24314934993754,-352.80233652319515,-331.1264484381409,-246.41779603910007,-254.44657039111942,-354.974069009389,-333.5905166018992,-246.81702646981407
25,user31,-285.53033681489336,-285.53033681489336,-285.53033681489336,-285.5303368148934,-322.9166565511703,-360.1354550269037,-356.1261507037287,-309.7526116656402,-325.9354146349223,-361.4040088821178,-356.76972034883903,-310.0458412667387
26,user32,-319.1867300527554,-321.0105384211444,-321.0105384211443,-320.2054180081696,-341.50374154898833,-374.295052912227,-365.61206493685876,-333.59945946130273,-342.7201080775411,-376.38842779720204,-366.03477782920066,-334.4123780389028
27,user33,-300.4802728286091,-300.4802728286092,-300.4802728286091,-300.4802728286091,-330.6413429377207,-366.7702924621306,-361.17324271423826,-321.13494304494503,-329.9432986263816,-368.0160782065912,-360.00893821363155,-322.5610845479455
28,user34,-372.80725462211416,-373.0293570971373,-373.5706926211748,-372.85899480193285,-378.1211779977936,-382.43110791592187,-382.62840028834904,-376.5752585071852,-377.96827866700977,-382.9327813370814,-383.1915966302285,-376.70649528998746
29,user35,-266.9841550971974,-266.9841550971974,-266.9841550971974,-266.98415509719746,-296.48760782045537,-357.8697096881311,-347.6507425778287,-292.64344795264424,-299.1974316256897,-358.82541368072344,-347.5102732546649,-293.90595896298765
30,user36,-324.86014779379184,-324.7472809208682,-324.8601477937918,-324.86014779379184,-348.50860518209555,-368.0274604341875,-362.80655154787587,-338.1668146496258,-347.0311952379795,-369.09573780132763,-363.16701558673026,-338.3319288928839
31,user37,-284.14828809203703,-284.14828809203703,-284.14828809203703,-284.14828809203703,-328.9495311759176,-370.3667683116442,-361.82849832533367,-318.5306366841246,-330.60421390478,-372.46095087249824,-361.6143014164676,-319.2570569483325
32,user38,-313.273809559416,-313.27380955941595,-313.27380955941607,-313.27380955941595,-324.0665793546503,-370.11929903141873,-362.4472623002072,-327.61682489581125,-323.86861590928623,-370.19446603718524,-364.8564395620314,-328.33187646695524
33,user39,-185.70865818853346,-185.7086581885335,-185.70865818853352,-185.70865818853352,-235.75283043938074,-340.2863899993226,-321.00993327971486,-238.8624145536786,-237.35747566151747,-341.36684416366046,-325.69062706831477,-239.63553579084055
34,user4,-286.30111310546505,-286.30111310546505,-286.3011131054651,-286.30111310546505,-324.0113800710796,-360.4754619662097,-357.9695089180422,-310.20295025514827,-325.5564979093694,-362.1385052709341,-358.21171948220734,-310.55982955456864
35,user40,-318.297699384388,-318.297699384388,-318.297699384388,-318.297699384388,-329.24417757061855,-373.1414749791414,-365.4753525114908,-330.6453427722942,-329.7242299421404,-372.35567562882267,-365.6318988274534,-331.07884807738316
36,user41,-180.5796902463358,-180.57969024633582,-180.57969024633582,-180.5796902463358,-262.0547210376417,-350.7497779975219,-339.30112209069813,-243.49375530000972,-262.2652818112893,-351.68111456653156,-341.66155277908723,-244.7908884369822
37,user42,-298.07011364562845,-299.9054895676199,-299.90548956761995,-299.90548956761995,-330.7617048038209,-367.57562339923453,-359.93063679865594,-318.87267789181215,-331.28196409925687,-368.85411918479207,-362.6450983190559,-322.2606166697571
38,user43,-294.3858207003274,-294.38582070032743,-294.38582070032743,-293.7569930127417,-325.60783885565917,-370.1450058742776,-352.6060188375389,-309.6725388969649,-324.8995026345884,-370.59892720561373,-350.4132606978183,-308.4702957428529
39,user44,-125.4632527888437,-125.46325278884368,-125.46325278884368,-125.46325278884365,-233.93163864030035,-341.84617001294066,-323.1770851835519,-210.62134714790372,-236.8581657058982,-344.0535049960127,-324.86436525687816,-213.30266405617058
40,user45,-213.57851023964906,-213.57851023964903,-213.57851023964906,-213.57851023964903,-262.555613493929,-354.44778791738287,-338.7637175821873,-260.6384158992949,-264.15730766735874,-356.5883506464996,-343.08781012974015,-263.1752785630245
41,user46,-350.62956002639083,-350.6295600263908,-350.62956002639083,-350.4129640224242,-362.3525610264376,-382.6877913667599,-377.7727865435127,-359.52631223750944,-361.0435176614273,-384.85137290497545,-378.45448938133615,-359.72991198647543
42,user47,-310.35899705615157,-316.1278794758914,-316.1278794758914,-315.6430394478021,-321.8527750896612,-357.47210217669414,-353.5758137923248,-325.11625684279676,-316.1726859193394,-356.53483275938817,-351.2441124184034,-321.475965832731
43,user48,-231.56130572804994,-231.56130572804992,-231.5613057280499,-231.56130572804992,-295.54073729107114,-353.77500897859585,-350.1925243192914,-286.05784969154564,-291.40055960813294,-355.42951599278723,-350.4388233854182,-285.5232159279314
44,user49,-380.4606342304532,-380.4606342304532,-380.4606342304532,-380.4606342304532,-380.7894469433267,-386.5000939868447,-384.4634471076782,-380.58030238954956,-380.9813408673837,-387.01340906617446,-384.4562209341519,-381.7822292052527
45,user5,-141.3619173341874,-141.3619173341874,-141.3619173341874,-141.3619173341874,-245.03278649224396,-342.3967832376457,-337.76428874905866,-232.69564585497312,-249.7517089217295,-344.33820769316634,-339.2704465233194,-233.98253787542674
46,user50,-387.8139860614852,-387.6566048463572,-387.2724308966039,-387.9273339088136,-386.97824495224455,-385.5841413935736,-385.45186257768876,-386.70775822522955,-387.27811154951434,-387.5035016294782,-386.4819906823712,-387.4607937043448
47,user51,-384.8482768887928,-384.8482768887928,-384.5219974837592,-384.1638198993027,-384.4302369809949,-384.0212114831847,-384.7242744622994,-382.86150128116344,-385.31845642709465,-387.58482159717147,-384.84789759708605,-384.00989716554506
48,user52,-305.3372431876879,-305.3372431876879,-305.3372431876879,-305.3372431876879,-329.2159451364417,-362.1889529388937,-362.2977879393212,-324.3278370330195,-329.01011684124063,-363.50378480322956,-362.18353289935806,-325.778991944701
49,user53,-386.86926083961265,-386.4958772738391,-386.4724400363695,-387.14382732237374,-386.6533507953398,-383.2650534777606,-386.2484320879235,-386.85737233154777,-386.20806794214593,-385.30232831945773,-385.8987277923388,-386.7000406168718
50,user54,-288.8752236643509,-295.37169262535826,-293.15809328496556,-290.06677752920166,-310.10957385338907,-360.98222184317336,-339.6484326067709,-303.4340565421886,-311.2431317803777,-360.3935291615946,-340.1445004324785,-303.6779176328513
51,user55,-280.07129792275657,-280.07129792275657,-280.07129792275657,-280.0712979227565,-315.9910030041786,-362.52323257945096,-365.20983346576276,-309.47175893239574,-316.6790093642885,-364.3020177367543,-363.71544759397494,-309.9995322937852
