player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
user0,-714.8556079473601,-714.998150677683,-712.9582010883225,-714.2017576910416,-714.4120900038581,-716.6638022042155,-722.0207163179991,-718.2433589975913,-713.4464881405077,-716.6638022042155,-717.0524550457151,-722.8253747943183,-716.1135402948671,-714.5778773844277,-716.9031835330643
user1,-320.4343980198844,-320.4343980198844,-320.43439801988444,-320.4343980198844,-393.8749870127655,-442.0269720212632,-627.2623839328601,-616.8976428927572,-414.52110183001,-479.33743859892763,-443.57087733246783,-628.3510675713088,-617.0565476050851,-417.80251161953925,-481.59090322943024
user10,-417.38733042785515,-437.4237843396925,-437.42378433969253,-408.76230001093353,-424.9666952185942,-430.05528930181214,-632.1115613528509,-577.3356368303462,-425.33266009319044,-435.02524666003234,-438.77027922725284,-635.9360428818682,-587.2503538193255,-432.18076867001156,-441.4988074723431
user11,-401.42619810283975,-401.42619810283975,-401.42619810283975,-401.42619810283975,-462.2661381695761,-524.8836804239922,-671.5851425087797,-649.0127601736115,-516.365069239818,-576.8093906390981,-524.3025090337534,-672.835580698983,-652.7013685115561,-519.6012388445596,-573.5287076449013
user12,-388.04168337877314,-388.04168337877314,-388.04168337877314,-388.0416833787732,-401.05232922463034,-497.00367898479755,-671.5671407033592,-624.7423177632136,-467.2148833104015,-499.87990898645234,-496.9738887748243,-671.2919196009773,-619.0662783559762,-468.07331501381253,-500.44173752885587
user13,-537.590503203983,-542.6118815863617,-542.6118815863617,-537.431464402624,-529.3988349525944,-590.8457048069478,-678.2445185481106,-672.6673010820789,-575.3056237226301,-586.3036040140103,-592.0833352150796,-683.0801305742211,-676.6793094964225,-576.2667099964938,-587.8482488200198
user14,-525.9617422056474,-525.9617422056474,-525.9617422056474,-525.9617422056474,-528.9888370150402,-567.4665255480054,-686.7872351431354,-658.9196740226021,-565.9280634754707,-573.811347859378,-568.2170998895269,-690.5092699595286,-663.3271206840989,-565.3031862280463,-572.7402946706716
user15,-357.747717170406,-357.747717170406,-357.747717170406,-357.7477171704061,-412.1417618514394,-505.51501589126974,-662.5748242665538,-647.9284803252528,-477.50730624997436,-535.2290270011874,-499.8282688798701,-662.6679531087278,-647.3136268607225,-474.60462044463117,-527.6667577038261
user16,-511.54954856589694,-548.8311417481921,-548.8311417481921,-529.9232496499988,-512.605158614172,-543.8360393317639,-657.0791391466039,-627.950107582259,-543.2026386034961,-532.9261983352922,-542.9215702014196,-657.1720293525134,-626.1700346352025,-542.1513527445461,-531.7820482530519
user17,-557.5980127032451,-557.5980127032451,-557.5980127032451,-557.5980127032451,-555.9180730394073,-608.1868448147438,-678.7365813063855,-674.1489240846481,-594.3754991296885,-608.8706466740985,-610.9980989235307,-681.5841568225323,-673.4796634050097,-602.5661339311737,-611.8177215682272
user18,-128.93354087768762,-128.93354087768773,-128.93354087768796,-128.9335408776877,-247.64648720812718,-404.0712975985666,-629.7858151017966,-591.8745318272856,-353.81046461859603,-474.4476653755693,-404.8570119987318,-635.797185344534,-602.514656218583,-361.0394327320089,-471.24436715322713
user19,-719.7555949555581,-724.9884988237748,-716.9073886667481,-722.64202842634,-719.7555897322486,-704.8502128842927,-722.7913537014397,-710.9677618577473,-711.089912904592,-705.3769331016497,-714.8058793591815,-726.9561008133637,-715.9580484279768,-719.5563317151991,-715.5210436401992
user2,-460.7220430204959,-482.1392485932979,-482.139248593298,-454.55957589501196,-475.73020100905154,-468.1282589115966,-653.9074672961401,-603.4741448060904,-475.9166000566013,-487.7085892174304,-476.83352796671045,-655.1781595580827,-600.2846100491206,-478.94094846315716,-491.2911038310606
user20,-396.966010463928,-396.966010463928,-396.9660104639279,-396.96601046392794,-398.90275197149106,-506.4890437643931,-658.2153694652498,-632.06747847415,-477.9002112824839,-513.0257717361267,-513.7625414828319,-661.4747100652596,-631.2989708759742,-478.93085764336297,-517.7580823590157
