,player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
0,user0,-542.456724682095,-542.456724682095,-542.456724682095,-542.456724682095,-537.6082129685402,-610.6549892000533,-693.8456455996907,-677.453733201804,-593.8205616082059,-602.1377965100673,-611.8870900682616,-697.1507875512049,-679.9997179359727,-597.3517656280901,-605.1593410947446
1,user1,-617.8063687278798,-617.8063687278798,-617.8063687278798,-617.80636872788,-611.0880225556638,-666.8029833411292,-710.0594101910219,-701.0090328055057,-653.0056235571249,-661.1300801276611,-665.9952114584098,-713.5654840029537,-699.118023176964,-653.4078173846297,-660.2299319324613
2,user10,-567.2890828901402,-571.0340815546815,-571.0340815546815,-561.9876982891858,-557.3792426380135,-571.2449908271053,-683.7191397021641,-651.4575053461954,-574.2695401347379,-571.4017738283412,-583.1334849604248,-686.3482246570725,-658.6295407064345,-586.2931036763903,-573.3559909059338
3,user11,-662.5420647497463,-662.5420647497463,-662.5420647497463,-662.5420647497463,-660.7572451864455,-658.0896529375846,-711.2102397028851,-699.1282010192499,-670.7969407993002,-670.5288086883704,-665.7084357705215,-715.6521193159781,-705.0649249062265,-679.4587556734493,-673.3103447358001
4,user12,-538.1988234229962,-537.9917132625616,-538.1988234229962,-538.1988234229962,-525.303331687363,-580.7518509038171,-680.057384859623,-649.9389026868214,-568.5324103005809,-565.4894391003293,-579.9216606930379,-681.4674618461952,-652.0341738556726,-569.0411079308651,-565.073700123017
5,user13,-551.9441668787902,-554.3403737132062,-554.3403737132063,-554.3403737132062,-542.0195307855795,-589.2168320724877,-672.9761377381108,-670.8556097605858,-585.757639169896,-566.3196489280326,-589.0601230870948,-673.9851178766573,-671.7698728850485,-585.6958347489744,-566.1717805230517
6,user14,-722.172994018392,-720.2903431092484,-720.3656573140615,-723.6349656612556,-722.3282031167739,-721.1981268775592,-721.3231924039585,-717.069216794471,-720.7254161873583,-722.0023797504587,-721.2066155665693,-724.3892246014664,-719.0160395648247,-721.9775603668277,-721.6345693278788
7,user15,-329.53184870707213,-331.0064978040655,-331.0064978040655,-323.08961353457323,-405.55275270599725,-455.5536314184983,-650.632121666265,-602.5610184974615,-402.78010386252697,-472.8173336646859,-455.5083209246362,-652.3306185433675,-603.9337624162579,-401.40338597177686,-473.0608269497769
8,user16,-571.0670846545731,-571.0670846545731,-571.0670846545735,-571.0670846545731,-570.5243788551368,-637.9370556595277,-698.1455524513672,-697.8348444431325,-638.9363404458488,-631.0490808583661,-638.4689021972881,-703.153509881196,-700.5522590545629,-641.3804069271191,-635.6484207409032
9,user17,-373.77919142588587,-373.779191425886,-373.77919142588587,-373.77919142588587,-390.0343560768018,-488.84798840051974,-657.6953683343202,-608.4251056700767,-453.713983142598,-487.71845230670647,-493.83640587680736,-661.480830520941,-614.3706737259174,-456.4668446274262,-489.76283363423823
10,user18,-584.913889546358,-584.9138895463581,-584.913889546358,-584.913889546358,-583.147452596615,-639.6807267184361,-703.5481561315305,-688.5971968252343,-629.5174291878524,-634.751886674803,-640.1099239125305,-703.4386736354104,-689.3331225809123,-629.1278525824353,-635.223098665479
11,user19,-430.0062288825246,-435.518272883683,-435.518272883683,-433.90976958464296,-424.6946094214648,-507.63624748388975,-645.9998147084311,-635.0535201254768,-491.9509769630957,-493.12454740915376,-509.20401059127386,-653.9106999305325,-631.8274145955718,-497.39138452483496,-496.7047286843643
12,user2,-319.6755505464649,-319.6755505464649,-319.6755505464649,-319.6755505464648,-344.4559059410873,-451.27542348752934,-635.212910706878,-621.2150170839441,-448.80859762764254,-456.77505218528455,-453.4805236148605,-641.5854543713183,-626.7658305985374,-453.12662647792456,-456.6304315157316
13,user20,-656.4426627654226,-656.4426627654226,-656.4426627654226,-656.4426627654226,-656.4426627654225,-676.9245330158924,-707.944493586951,-704.6430260657507,-675.7587308601214,-676.9245330158924,-677.4708114357136,-707.4795570063154,-703.8632843067355,-675.7587308601214,-677.4708114357134
14,user21,-685.0417653532099,-691.4716011490245,-688.5946735467223,-686.1946951758687,-683.8054953550686,-689.345087121513,-715.2154222315977,-707.8423786462142,-689.6081418775625,-687.9115261579423,-688.4632414668793,-715.1051419797802,-704.2838360955766,-688.8566127245342,-687.1832599768316
15,user22,-582.0104001831194,-581.2788587954052,-583.9743009227286,-581.3490303639317,-573.6207501349613,-604.2143543905099,-678.329844153312,-685.6604441943359,-612.7703618728052,-598.9272319379847,-606.5121257827358,-681.624165814382,-679.3285670317946,-613.7383407666431,-600.8313337820969
16,user23,-377.499318180111,-377.49931818011106,-377.499318180111,-376.800210062204,-408.42408239516186,-469.89824162091475,-653.840008061444,-602.7653533883906,-440.85092519909153,-499.9306936116555,-477.19572315824496,-655.4209779846307,-609.5753783793197,-441.9224740030981,-506.2544775297025
17,user24,-457.12122402172366,-457.12122402172355,-457.1212240217235,-457.12122402172355,-465.02235372868796,-552.9728816782264,-663.5479515807729,-659.4240709707751,-539.1286997523027,-559.7282526835459,-556.8908093155244,-669.7577085607227,-658.3471029487205,-544.0607106619005,-562.2726370986829
18,user25,-441.1719602119391,-441.17196021193917,-441.1719602119391,-441.17196021193917,-482.58372747752134,-543.8950574777273,-672.9154075501822,-658.5876513707057,-518.3307008115719,-554.4791308362833,-548.1754955053663,-675.2120146203581,-658.6909978808029,-518.741057688196,-556.2167118755443
19,user26,-473.44874869957135,-473.4487486995713,-473.44874869957135,-473.4487486995713,-509.30900322711216,-581.5014516758529,-692.6084829049257,-665.4402734790355,-561.9211709303377,-592.2176150646444,-582.7071021602077,-696.3197071304112,-667.1346416710625,-565.2723303887549,-594.1419660092729
20,user27,-408.30860115003634,-408.3086011500362,-408.3086011500362,-408.3086011500362,-485.26213802016815,-515.7602275748394,-677.5854846021884,-646.8661538005977,-501.7602064151657,-551.401152744495,-513.3976338985951,-680.6093264351271,-651.9641484298367,-499.91347905424095,-549.6588150228515
21,user28,-380.3597621736102,-380.35976217361025,-380.3597621736103,-380.35976217361025,-426.8163909703705,-505.1547068289416,-669.5654521112931,-634.4133320770169,-478.5595572546914,-544.7230041271337,-507.3862026336566,-669.9995760249947,-634.0963614391828,-480.2556821240398,-545.541399279015
22,user29,-456.7985308165978,-456.79853081659775,-456.79853081659775,-451.23907679782326,-472.756634575092,-520.3476219364429,-647.9358685219559,-646.6608692600844,-515.4169201633806,-527.443368649278,-522.0903279347935,-647.9105160094607,-642.6896409082241,-517.1369894955992,-528.3762121019686
23,user3,-481.09105468432745,-486.7837239367827,-486.7837239367827,-476.92257438001303,-482.0360269806528,-528.1697285849773,-668.3484329629359,-625.1005327272537,-521.2644137426414,-516.5821608875124,-521.9033654598022,-671.5735070588898,-633.2701670964407,-523.3723280328877,-516.7985206907517
24,user30,-435.93635080172004,-435.93635080172,-435.93635080172004,-435.9363508017201,-426.16015872601866,-527.5055136503038,-668.456885699451,-655.764688393529,-514.9465079771026,-501.0834776030302,-530.0289171644258,-675.7562147084238,-658.8094703982906,-523.1041096858859,-502.45786050693056
25,user31,-485.97488087623134,-485.9748808762313,-485.9748808762313,-483.3417020069583,-475.2109404507708,-572.075944962719,-661.6958859801798,-667.9697049792237,-550.3909015257013,-565.378100226739,-574.923363105951,-663.1878607906094,-671.6993658816089,-553.2169327979705,-566.267547290041
26,user32,-657.9766277264769,-657.9766277264769,-657.9766277264769,-657.9766277264769,-657.9766277264769,-681.5293390243116,-709.5531344321596,-704.1918057024957,-677.958780404366,-678.8220843931513,-683.0728803788529,-709.386941843213,-702.9910679123811,-677.773627550529,-683.0728803788529
27,user33,-610.7849062545089,-610.784906254509,-610.7849062545088,-610.7849062545088,-609.4080482122544,-642.9021849428799,-695.8113138640975,-691.7904613627444,-636.9384594180277,-637.5457201857839,-646.152761195993,-700.5393327299446,-695.3548026027547,-637.388358771279,-640.7601731584134
28,user34,-719.7202322926057,-723.666052495159,-715.7811730592721,-718.1872302146023,-718.6046956165178,-717.123796711586,-724.0731394043737,-715.636103133673,-715.5341138965259,-716.8023731476089,-718.2941485070126,-724.5123225487562,-716.0257653821225,-717.6868132457548,-717.8680309138717
29,user35,-379.14261050295966,-406.17965126305756,-406.1796512630575,-398.4624800243187,-381.7115738578693,-474.3410461331526,-654.1995618136925,-619.324541290626,-464.45632454993705,-445.3653552490311,-477.3732907516947,-659.7473256938049,-620.952299820043,-470.94514955023857,-448.27981592764985
30,user36,-308.53071685872544,-308.5307168587255,-308.5307168587254,-308.5307168587254,-376.19784849835065,-453.2588773631928,-639.3385837916694,-623.35094768986,-422.209631530224,-495.833787950749,-456.1847978617503,-645.695144666963,-624.3363141558004,-428.14162586717424,-494.3997079128414
31,user37,-532.654557058068,-548.9302841072401,-547.9112270730657,-523.043544752557,-529.2534688702409,-544.7783157943204,-671.0475299347106,-629.4500027900847,-539.5693284462923,-540.2776293559155,-547.4346458761231,-672.6625584253243,-628.3966768303778,-540.3768519211717,-540.1149758082138
32,user38,-152.98374389360401,-152.98374389360407,-152.98374389360433,-152.98374389360407,-270.2066253226693,-379.0917998879634,-634.6249932277417,-598.1275945424509,-349.6354592452261,-438.3954137196782,-384.6247343544053,-643.065430244499,-601.673840286404,-357.0425762463891,-443.5305734606872
33,user39,-497.1535110231802,-497.1535110231801,-497.1535110231801,-497.15351102318016,-497.9926232428782,-597.8086563459717,-681.701322184231,-691.607948302975,-601.9424956619724,-587.7670429934551,-600.2861284026696,-684.0086353018121,-691.460141551237,-603.7028560357151,-592.6975689777257
34,user4,-516.1192013953596,-577.376156558795,-560.0150568019011,-533.2433952032383,-488.47518930257644,-510.4398906532805,-664.4866743580142,-604.0989392202159,-533.6216055871552,-485.8055912102119,-513.5964353408804,-668.2851797194539,-611.5015553024432,-536.0091538196889,-485.49245966940225
