player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean
user0,-383.7173716943191,-383.7173716943191,-383.7173716943191,-383.7173716943191,-488.76763017149796,-674.6089502048326,-632.1581278082393,-475.3196289634305,-495.00763284201406,-678.347157795325,-637.607701224812,-480.23465757122045
user1,-371.3660882424793,-371.3660882424793,-371.36608824247935,-371.36608824247935,-510.5683841976238,-659.1306558542626,-647.6721265122713,-479.7324327324754,-512.3597764883066,-660.4210292762871,-649.0289891398046,-485.5081485788708
user10,-335.7690627072367,-350.9770517317204,-350.97705173172045,-341.7141304033555,-489.91526951674047,-654.7231484300382,-615.2106420942846,-461.2442185797464,-501.190351136272,-661.3750735294514,-614.5692503853502,-469.7963610400641
user11,-565.6285256881948,-565.6285256881948,-565.6285256881948,-565.6285256881947,-629.2533026813965,-696.6034972464347,-681.7274690437878,-614.4763308148632,-627.5033006879431,-695.6900085724883,-685.4563813594177,-612.9900781165707
user12,-145.5638312326286,-145.5638312326285,-145.56383123262853,-145.56383123262867,-370.2371603769533,-615.8638207846748,-584.5268330546944,-336.22659569888924,-376.2287696293813,-621.9383186942133,-590.2965623181931,-344.482146279743
user13,-290.6510575631,-290.6510575630999,-290.6510575630999,-290.6510575630999,-483.59718578840904,-654.9163114752914,-648.1805367358976,-463.7108736876455,-480.6769672671216,-658.0716870418906,-649.6975970468305,-471.04256365455853
user14,-426.04226907397504,-426.0422690739751,-426.0422690739751,-426.04226907397504,-551.2634512626136,-664.959476201551,-638.5634613655055,-504.79207606095395,-557.6853919677427,-672.1321801011593,-644.2607301851339,-507.6699775483122
user15,-447.5471251389527,-447.54712513895277,-447.5471251389528,-447.5471251389527,-550.0780059076346,-674.4195577034536,-657.7638804317803,-540.0283010582134,-548.7963081331501,-678.0377720118447,-660.811238770187,-542.0259639272778
user16,-462.28938394370533,-472.10223190602386,-472.10223190602386,-466.5534376363881,-554.7034203464748,-664.0519735761432,-662.0440055270183,-529.309478777295,-558.405386538885,-669.9285896550539,-663.9027622988599,-531.3909647000376
user17,-564.5322529919015,-564.3679861367083,-564.5322529919015,-564.5322529919015,-608.823692955558,-681.2178266718277,-678.5104875612117,-610.1571132100858,-611.1301246960829,-682.1181011844146,-676.8283671818076,-611.8713278931236
